Year,Month,GEO,Product Category,Products,VALUE,Taxable,Total tax rate,Value after tax,Essential,COORDINATE,UOM,Month_num,Date
2019,January,Province 6,Vegetables,"Peppers, per kilogram",8.67,No,14.975,8.67,Essential,5.4,Dollars,1,2019-01-01
2019,January,Province 6,Vegetables,"Squash, per kilogram",3.86,No,14.975,3.86,Essential,5.85,Dollars,1,2019-01-01
2019,January,Province 6,Vegetables,"Salad greens, 142 grams",3.6,No,14.975,3.6,Essential,5.86,Dollars,1,2019-01-01
2019,January,Province 6,Vegetables,"Frozen french fried potatoes, 750 grams",2.36,Yes,14.975,2.71,Essential,5.5,Dollars,1,2019-01-01
2019,January,Province 6,Canned & Jarred Goods,"Frozen green beans, 750 grams",3.32,No,14.975,3.32,Non-Essential,5.51,Dollars,1,2019-01-01
2019,January,Province 6,Vegetables,"Frozen broccoli, 500 grams",3.21,No,14.975,3.21,Essential,5.52,Dollars,1,2019-01-01
2019,January,Province 6,Frozen Foods,"Frozen corn, 750 grams ",3.02,No,14.975,3.02,Non-Essential,5.53,Dollars,1,2019-01-01
2019,January,Province 6,Frozen Foods,"Frozen mixed vegetables, 750 grams ",3.18,No,14.975,3.18,Non-Essential,5.54,Dollars,1,2019-01-01
2019,January,Province 6,Frozen Foods,"Frozen peas, 750 grams",2.94,No,14.975,2.94,Non-Essential,5.55,Dollars,1,2019-01-01
2019,January,Province 6,Frozen Foods,"Frozen pizza, 390 grams",4.39,Yes,14.975,5.05,Non-Essential,5.87,Dollars,1,2019-01-01
2019,January,Province 6,Vegetables,"Frozen spinach, 300 grams",1.55,No,14.975,1.55,Non-Essential,5.88,Dollars,1,2019-01-01
2019,January,Province 6,Fruits,"Frozen strawberries, 600 grams",3.86,No,14.975,3.86,Essential,5.89,Dollars,1,2019-01-01
2019,January,Province 6,Grains & Bakery,"White bread, 675 grams",3.55,No,14.975,3.55,Essential,5.56,Dollars,1,2019-01-01
2019,January,Province 6,Grains & Bakery,"Flatbread and pita, 500 grams ",2.46,No,14.975,2.46,Essential,5.9,Dollars,1,2019-01-01
2019,January,Province 6,Grains & Bakery,"Crackers and crisp breads, 200 grams ",2.63,Yes,14.975,3.02,Essential,5.91,Dollars,1,2019-01-01
2019,January,Province 6,Grains & Bakery,"Cookies and sweet biscuits, 300 grams ",2.77,Yes,14.975,3.18,Non-Essential,5.92,Dollars,1,2019-01-01
2019,January,Province 6,Grains & Bakery,"Dry or fresh pasta, 500 grams",2.35,No,14.975,2.35,Essential,5.57,Dollars,1,2019-01-01
2019,January,Province 6,Grains & Bakery,"Brown rice, 900 grams ",4.25,No,14.975,4.25,Essential,5.93,Dollars,1,2019-01-01
2019,January,Province 6,Grains & Bakery,"White rice, 2 kilograms",8.01,No,14.975,8.01,Essential,5.94,Dollars,1,2019-01-01
2019,January,Province 6,Grains & Bakery,"Cereal, 400 grams",3.18,No,14.975,3.18,Non-Essential,5.58,Dollars,1,2019-01-01
2019,January,Province 6,Grains & Bakery,"Wheat flour, 2.5 kilograms",4.9,No,14.975,4.9,Essential,5.59,Dollars,1,2019-01-01
2019,January,Province 6,Cooking Essentials,"White sugar, 2 kilograms",2.62,No,14.975,2.62,Essential,5.6,Dollars,1,2019-01-01
2019,January,Province 6,Fruits,"Apple juice, 2 litres",3.01,No,14.975,3.01,Essential,5.61,Dollars,1,2019-01-01
2019,January,Province 6,Fruits,"Orange juice, 2 litres",3.86,No,14.975,3.86,Essential,5.62,Dollars,1,2019-01-01
2019,January,Province 6,Beverages,"Roasted or ground coffee, 340 grams",5.18,No,14.975,5.18,Non-Essential,5.63,Dollars,1,2019-01-01
2019,January,Province 6,Beverages,Tea (20 bags),3.45,No,14.975,3.45,Non-Essential,5.64,Dollars,1,2019-01-01
2019,January,Province 6,Cooking Essentials,"Ketchup, 1 litre",3.41,No,14.975,3.41,Essential,5.65,Dollars,1,2019-01-01
2019,January,Province 6,Cooking Essentials,"Vegetable oil, 3 litres",5.83,No,14.975,5.83,Essential,5.66,Dollars,1,2019-01-01
2019,January,Province 6,Cooking Essentials,"Canola oil, 3 litres",7.04,No,14.975,7.04,Essential,5.95,Dollars,1,2019-01-01
2019,January,Province 6,Cooking Essentials,"Olive oil, 1 litre",8.9,No,14.975,8.9,Essential,5.96,Dollars,1,2019-01-01
2019,January,Province 6,Infant & Baby Products,"Baby food, 128 millilitres",1.34,No,14.975,1.34,Essential,5.67,Dollars,1,2019-01-01
2019,January,Province 6,Infant & Baby Products,"Infant formula, 900 grams ",26.9,No,14.975,26.9,Essential,5.97,Dollars,1,2019-01-01
2019,January,Province 6,Dairy & Eggs,"Peanut butter, 1 kilogram",4.25,No,14.975,4.25,Essential,5.68,Dollars,1,2019-01-01
2019,January,Province 6,Canned & Jarred Goods,"Mayonnaise, 890 millilitres ",4.38,Yes,14.975,5.04,Non-Essential,5.69,Dollars,1,2019-01-01
2019,January,Province 6,Canned & Jarred Goods,"Canned baked beans, 398 millilitres",1.01,No,14.975,1.01,Essential,5.7,Dollars,1,2019-01-01
2019,January,Province 6,Vegetables,"Canned tomatoes, 796 millilitres",1.28,No,14.975,1.28,Essential,5.71,Dollars,1,2019-01-01
2019,January,Province 6,Canned & Jarred Goods,"Canned soup, 284 millilitres",0.9,No,14.975,0.9,Essential,5.72,Dollars,1,2019-01-01
2019,January,Province 6,Canned & Jarred Goods,"Canned beans and lentils, 540 millilitres",1.21,No,14.975,1.21,Essential,5.73,Dollars,1,2019-01-01
2019,January,Province 6,Canned & Jarred Goods,"Canned corn, 341 millilitres",1.12,No,14.975,1.12,Essential,5.98,Dollars,1,2019-01-01
2019,January,Province 6,Canned & Jarred Goods,"Canned peach, 398 millilitres",1.9,No,14.975,1.9,Essential,5.99,Dollars,1,2019-01-01
2019,January,Province 6,Fruits,"Canned pear, 398 millilitres",1.84,No,14.975,1.84,Essential,5.1,Dollars,1,2019-01-01
2019,January,Province 6,Legumes & Dry Goods,"Dried lentils, 900 grams",3.04,No,14.975,3.04,Essential,5.74,Dollars,1,2019-01-01
2019,January,Province 6,Canned & Jarred Goods,"Dry beans and legumes, 900 grams ",2.64,No,14.975,2.64,Essential,5.101,Dollars,1,2019-01-01
2019,January,Province 6,Legumes & Dry Goods,"Tofu, 350 grams ",2.35,No,14.975,2.35,Essential,5.102,Dollars,1,2019-01-01
2019,January,Province 6,Legumes & Dry Goods,"Hummus, 227 grams",3.52,No,14.975,3.52,Essential,5.103,Dollars,1,2019-01-01
2019,January,Province 6,Canned & Jarred Goods,"Salsa, 418 millilitres",2.88,Yes,14.975,3.31,Non-Essential,5.104,Dollars,1,2019-01-01
2019,January,Province 6,Grains & Bakery,"Pasta sauce, 650 millilitres",2.57,No,14.975,2.57,Essential,5.105,Dollars,1,2019-01-01
2019,January,Province 6,Canned & Jarred Goods,"Salad dressing, 475 millilitres",2.48,Yes,14.975,2.85,Non-Essential,5.106,Dollars,1,2019-01-01
2019,January,Province 6,Nuts & Snacks,"Almonds, 200 grams",5.37,No,14.975,5.37,Non-Essential,5.107,Dollars,1,2019-01-01
2019,January,Province 6,Nuts & Snacks,"Peanuts, 450 grams",3.61,No,14.975,3.61,Non-Essential,5.108,Dollars,1,2019-01-01
2019,January,Province 6,Nuts & Snacks,"Sunflower seeds, 400 grams ",4.39,No,14.975,4.39,Non-Essential,5.109,Dollars,1,2019-01-01
2019,January,Province 6,Toiletries & Cleaning,"Deodorant, 85 grams",4.57,Yes,14.975,5.25,Essential,5.75,Dollars,1,2019-01-01
2019,January,Province 6,Toiletries & Cleaning,"Toothpaste, 100 millilitres",2.61,Yes,14.975,3.0,Essential,5.76,Dollars,1,2019-01-01
2019,January,Province 6,Toiletries & Cleaning,"Shampoo, 400 millilitres",5.12,Yes,14.975,5.89,Essential,5.77,Dollars,1,2019-01-01
2019,January,Province 6,Toiletries & Cleaning,"Laundry detergent, 4.43 litres",13.17,Yes,14.975,15.14,Essential,5.11,Dollars,1,2019-01-01
2019,January,Province 7,Meat & Poultry,"Beef stewing cuts, per kilogram",13.79,No,13.0,13.79,Essential,6.1,Dollars,1,2019-01-01
